video_id,sentence_id,signer_id,sentence_text,sentence_length,fps,resolution,video_path,split
MVI_6503.MP4,He is going into the room,1,He is going into the room,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\He is going into the room\MVI_6503.MP4,train
he is going into the room (2).mp4,He is going into the room,2,He is going into the room,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\He is going into the room\he is going into the room (2).mp4,train
he is going into the room.mp4,He is going into the room,3,He is going into the room,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\He is going into the room\he is going into the room.mp4,train
room (2).MP4,He is going into the room,4,He is going into the room,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\He is going into the room\room (2).MP4,train
room (3).MP4,He is going into the room,5,He is going into the room,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\He is going into the room\room (3).MP4,train
room (4).MP4,He is going into the room,6,He is going into the room,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\He is going into the room\room (4).MP4,val
room.MP4,He is going into the room,7,He is going into the room,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\He is going into the room\room.MP4,test
MVI_6496.MP4,No need to worry dont worry,1,No need to worry dont worry,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\No need to worry dont worry\MVI_6496.MP4,train
MVI_6502.MP4,This place is beautiful,1,This place is beautiful,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\This place is beautiful\MVI_6502.MP4,train
beautiful (2).MP4,This place is beautiful,2,This place is beautiful,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\This place is beautiful\beautiful (2).MP4,train
beautiful (3).MP4,This place is beautiful,3,This place is beautiful,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\This place is beautiful\beautiful (3).MP4,train
beautiful (4).MP4,This place is beautiful,4,This place is beautiful,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\This place is beautiful\beautiful (4).MP4,train
beautiful.MP4,This place is beautiful,5,This place is beautiful,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\This place is beautiful\beautiful.MP4,train
this place is beautiful (2).mp4,This place is beautiful,6,This place is beautiful,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\This place is beautiful\this place is beautiful (2).mp4,val
this place is beautiful.mp4,This place is beautiful,7,This place is beautiful,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\This place is beautiful\this place is beautiful.mp4,test
are you free today (2).mp4,are you free today,1,are you free today,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\are you free today (2).mp4,train
are you free today.mp4,are you free today,2,are you free today,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\are you free today.mp4,train
free (2).MP4,are you free today,3,are you free today,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (2).MP4,train
free (3).MP4,are you free today,4,are you free today,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (3).MP4,train
free (4).MP4,are you free today,5,are you free today,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (4).MP4,train
free (5).MP4,are you free today,6,are you free today,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (5).MP4,val
free.MP4,are you free today,7,are you free today,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free.MP4,test
MVI_6209.MP4,are you hiding something,1,are you hiding something,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6209.MP4,train
MVI_6507.MP4,are you hiding something,2,are you hiding something,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6507.MP4,train
MVI_6685.MP4,are you hiding something,3,are you hiding something,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6685.MP4,train
MVI_6817.MP4,are you hiding something,4,are you hiding something,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6817.MP4,train
MVI_6958.MP4,are you hiding something,5,are you hiding something,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6958.MP4,train
are you hiding something (2).mp4,are you hiding something,6,are you hiding something,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\are you hiding something (2).mp4,val
are you hiding something.mp4,are you hiding something,7,are you hiding something,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\are you hiding something.mp4,test
bring water for me (1).MP4,bring water for me,1,bring water for me,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (1).MP4,train
bring water for me (3).MP4,bring water for me,2,bring water for me,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (3).MP4,train
bring water for me (4).MP4,bring water for me,3,bring water for me,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (4).MP4,train
bring water for me (5).MP4,bring water for me,4,bring water for me,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (5).MP4,train
bring water for me (6).mp4,bring water for me,5,bring water for me,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (6).mp4,train
bring water for me (7).mp4,bring water for me,6,bring water for me,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (7).mp4,val
bring water for me (8).MP4,bring water for me,7,bring water for me,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (8).MP4,test
can i help you (2).mp4,can i help you,1,can i help you,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\can i help you (2).mp4,train
can i help you.mp4,can i help you,2,can i help you,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\can i help you.mp4,train
cannot help.MP4,can i help you,3,can i help you,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\cannot help.MP4,train
help (2).MP4,can i help you,4,can i help you,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help (2).MP4,train
help (3).MP4,can i help you,5,can i help you,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help (3).MP4,train
help (4).MP4,can i help you,6,can i help you,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help (4).MP4,val
help (5).MP4,can i help you,7,can i help you,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help (5).MP4,test
help.MP4,can i help you,1,can i help you,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help.MP4,train
can you repeat that please (1).MP4,can you repeat that please,1,can you repeat that please,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (1).MP4,train
can you repeat that please (3).MP4,can you repeat that please,2,can you repeat that please,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (3).MP4,train
can you repeat that please (4).MP4,can you repeat that please,3,can you repeat that please,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (4).MP4,train
