image_path,label
dataset/train_aug\A LOT\orig_A LOT (1).jpg,A LOT
dataset/train_aug\A LOT\orig_A LOT (2).jpg,A LOT
dataset/train_aug\A LOT\orig_A LOT (4).jpg,A LOT
dataset/train_aug\A LOT\aug_3.jpg,A LOT
dataset/train_aug\A LOT\aug_4.jpg,A LOT
dataset/train_aug\A LOT\aug_5.jpg,A LOT
dataset/train_aug\A LOT\aug_6.jpg,A LOT
dataset/train_aug\A LOT\aug_7.jpg,A LOT
dataset/train_aug\A LOT\aug_8.jpg,A LOT
dataset/train_aug\A LOT\aug_9.jpg,A LOT
dataset/train_aug\A LOT\aug_10.jpg,A LOT
dataset/train_aug\A LOT\aug_11.jpg,A LOT
dataset/train_aug\A LOT\aug_12.jpg,A LOT
dataset/train_aug\A LOT\aug_13.jpg,A LOT
dataset/train_aug\A LOT\aug_14.jpg,A LOT
dataset/train_aug\A LOT\aug_15.jpg,A LOT
dataset/train_aug\A LOT\aug_16.jpg,A LOT
dataset/train_aug\A LOT\aug_17.jpg,A LOT
dataset/train_aug\A LOT\aug_18.jpg,A LOT
dataset/train_aug\A LOT\aug_19.jpg,A LOT
dataset/train_aug\A LOT\aug_20.jpg,A LOT
dataset/train_aug\A LOT\aug_21.jpg,A LOT
dataset/train_aug\A LOT\aug_22.jpg,A LOT
dataset/train_aug\A LOT\aug_23.jpg,A LOT
dataset/train_aug\A LOT\aug_24.jpg,A LOT
dataset/train_aug\A LOT\aug_25.jpg,A LOT
dataset/train_aug\A LOT\aug_26.jpg,A LOT
dataset/train_aug\A LOT\aug_27.jpg,A LOT
dataset/train_aug\A LOT\aug_28.jpg,A LOT
dataset/train_aug\A LOT\aug_29.jpg,A LOT
dataset/train_aug\A LOT\aug_30.jpg,A LOT
dataset/train_aug\A LOT\aug_31.jpg,A LOT
dataset/train_aug\A LOT\aug_32.jpg,A LOT
dataset/train_aug\A LOT\aug_33.jpg,A LOT
dataset/train_aug\A LOT\aug_34.jpg,A LOT
dataset/train_aug\A LOT\aug_35.jpg,A LOT
dataset/train_aug\A LOT\aug_36.jpg,A LOT
dataset/train_aug\A LOT\aug_37.jpg,A LOT
dataset/train_aug\A LOT\aug_38.jpg,A LOT
dataset/train_aug\A LOT\aug_39.jpg,A LOT
dataset/train_aug\A LOT\aug_40.jpg,A LOT
dataset/train_aug\A LOT\aug_41.jpg,A LOT
dataset/train_aug\A LOT\aug_42.jpg,A LOT
dataset/train_aug\A LOT\aug_43.jpg,A LOT
dataset/train_aug\A LOT\aug_44.jpg,A LOT
dataset/train_aug\A LOT\aug_45.jpg,A LOT
dataset/train_aug\A LOT\aug_46.jpg,A LOT
dataset/train_aug\A LOT\aug_47.jpg,A LOT
dataset/train_aug\A LOT\aug_48.jpg,A LOT
dataset/train_aug\A LOT\aug_49.jpg,A LOT
dataset/train_aug\ABUSE\orig_ABUSE (1).jpg,ABUSE
dataset/train_aug\ABUSE\orig_ABUSE (2).jpg,ABUSE
dataset/train_aug\ABUSE\orig_ABUSE (4).jpg,ABUSE
dataset/train_aug\ABUSE\orig_ABUSE (5).jpg,ABUSE
dataset/train_aug\ABUSE\aug_4.jpg,ABUSE
dataset/train_aug\ABUSE\aug_5.jpg,ABUSE
dataset/train_aug\ABUSE\aug_6.jpg,ABUSE
dataset/train_aug\ABUSE\aug_7.jpg,ABUSE
dataset/train_aug\ABUSE\aug_8.jpg,ABUSE
dataset/train_aug\ABUSE\aug_9.jpg,ABUSE
dataset/train_aug\ABUSE\aug_10.jpg,ABUSE
dataset/train_aug\ABUSE\aug_11.jpg,ABUSE
dataset/train_aug\ABUSE\aug_12.jpg,ABUSE
dataset/train_aug\ABUSE\aug_13.jpg,ABUSE
dataset/train_aug\ABUSE\aug_14.jpg,ABUSE
dataset/train_aug\ABUSE\aug_15.jpg,ABUSE
dataset/train_aug\ABUSE\aug_16.jpg,ABUSE
dataset/train_aug\ABUSE\aug_17.jpg,ABUSE
dataset/train_aug\ABUSE\aug_18.jpg,ABUSE
dataset/train_aug\ABUSE\aug_19.jpg,ABUSE
dataset/train_aug\ABUSE\aug_20.jpg,ABUSE
dataset/train_aug\ABUSE\aug_21.jpg,ABUSE
dataset/train_aug\ABUSE\aug_22.jpg,ABUSE
dataset/train_aug\ABUSE\aug_23.jpg,ABUSE
dataset/train_aug\ABUSE\aug_24.jpg,ABUSE
dataset/train_aug\ABUSE\aug_25.jpg,ABUSE
dataset/train_aug\ABUSE\aug_26.jpg,ABUSE
dataset/train_aug\ABUSE\aug_27.jpg,ABUSE
dataset/train_aug\ABUSE\aug_28.jpg,ABUSE
dataset/train_aug\ABUSE\aug_29.jpg,ABUSE
dataset/train_aug\ABUSE\aug_30.jpg,ABUSE
dataset/train_aug\ABUSE\aug_31.jpg,ABUSE
dataset/train_aug\ABUSE\aug_32.jpg,ABUSE
dataset/train_aug\ABUSE\aug_33.jpg,ABUSE
dataset/train_aug\ABUSE\aug_34.jpg,ABUSE
dataset/train_aug\ABUSE\aug_35.jpg,ABUSE
dataset/train_aug\ABUSE\aug_36.jpg,ABUSE
dataset/train_aug\ABUSE\aug_37.jpg,ABUSE
dataset/train_aug\ABUSE\aug_38.jpg,ABUSE
dataset/train_aug\ABUSE\aug_39.jpg,ABUSE
dataset/train_aug\ABUSE\aug_40.jpg,ABUSE
dataset/train_aug\ABUSE\aug_41.jpg,ABUSE
dataset/train_aug\ABUSE\aug_42.jpg,ABUSE
dataset/train_aug\ABUSE\aug_43.jpg,ABUSE
dataset/train_aug\ABUSE\aug_44.jpg,ABUSE
dataset/train_aug\ABUSE\aug_45.jpg,ABUSE
dataset/train_aug\ABUSE\aug_46.jpg,ABUSE
dataset/train_aug\ABUSE\aug_47.jpg,ABUSE
dataset/train_aug\ABUSE\aug_48.jpg,ABUSE
dataset/train_aug\ABUSE\aug_49.jpg,ABUSE
dataset/train_aug\AFRAID\orig_AFRAID (1).jpg,AFRAID
dataset/train_aug\AFRAID\orig_AFRAID (2).jpg,AFRAID
dataset/train_aug\AFRAID\orig_AFRAID (3).jpg,AFRAID
dataset/train_aug\AFRAID\orig_AFRAID (5).jpg,AFRAID
dataset/train_aug\AFRAID\aug_4.jpg,AFRAID
dataset/train_aug\AFRAID\aug_5.jpg,AFRAID
dataset/train_aug\AFRAID\aug_6.jpg,AFRAID
dataset/train_aug\AFRAID\aug_7.jpg,AFRAID
dataset/train_aug\AFRAID\aug_8.jpg,AFRAID
dataset/train_aug\AFRAID\aug_9.jpg,AFRAID
dataset/train_aug\AFRAID\aug_10.jpg,AFRAID
dataset/train_aug\AFRAID\aug_11.jpg,AFRAID
dataset/train_aug\AFRAID\aug_12.jpg,AFRAID
dataset/train_aug\AFRAID\aug_13.jpg,AFRAID
dataset/train_aug\AFRAID\aug_14.jpg,AFRAID
dataset/train_aug\AFRAID\aug_15.jpg,AFRAID
dataset/train_aug\AFRAID\aug_16.jpg,AFRAID
dataset/train_aug\AFRAID\aug_17.jpg,AFRAID
